# alpha time_ps distance_A F_radial_unscaled F_radial_scaled F_tangential
0.0000 0.010000 0.000107 0.019328 0.000000 0.022916
0.0000 0.020000 0.000213 0.019236 0.000000 0.022297
0.0000 0.030000 0.000318 0.019131 0.000000 0.021723
0.0000 0.040000 0.000423 0.019039 0.000000 0.021196
0.0000 0.050000 0.000528 0.018971 0.000000 0.020655
0.0000 0.060000 0.000632 0.018922 0.000000 0.020165
0.0000 0.070000 0.000737 0.018873 0.000000 0.019726
0.0000 0.080000 0.000840 0.018872 0.000000 0.019321
0.0000 0.090000 0.000944 0.018831 0.000000 0.018971
0.0000 0.100000 0.001048 0.018732 0.000000 0.018664
0.0000 0.110000 0.001151 0.018605 0.000000 0.018380
0.0000 0.120000 0.001254 0.018426 0.000000 0.018173
0.0000 0.130000 0.001356 0.018207 0.000000 0.018054
0.0000 0.140000 0.001458 0.017973 0.000000 0.018000
0.0000 0.150000 0.001559 0.017751 0.000000 0.018010
0.0000 0.160000 0.001660 0.017475 0.000000 0.018061
0.0000 0.170000 0.001760 0.017176 0.000000 0.018146
0.0000 0.180000 0.001860 0.016847 0.000000 0.018284
0.0000 0.190000 0.001961 0.016504 0.000000 0.018390
0.0000 0.200000 0.002060 0.016175 0.000000 0.018587
0.0000 0.210000 0.002159 0.015864 0.000000 0.018902
0.0000 0.220000 0.002258 0.015671 0.000000 0.019229
0.0000 0.230000 0.002357 0.015806 0.000000 0.019552
0.0000 0.240000 0.002455 0.015821 0.000000 0.019970
0.0000 0.250000 0.002553 0.015808 0.000000 0.020401
0.0000 0.260000 0.002650 0.015887 0.000000 0.020817
0.0000 0.270000 0.002746 0.016054 0.000000 0.021149
0.0000 0.280000 0.002843 0.016261 0.000000 0.021533
0.0000 0.290000 0.002940 0.016414 0.000000 0.021936
0.0000 0.300000 0.003037 0.016554 0.000000 0.022304
0.0000 0.310000 0.003133 0.016767 0.000000 0.022614
0.0000 0.320000 0.003229 0.017065 0.000000 0.022871
0.0000 0.330000 0.003324 0.017526 0.000000 0.023249
0.0000 0.340000 0.003419 0.017891 0.000000 0.023602
0.0000 0.350000 0.003513 0.018173 0.000000 0.023902
0.0000 0.360000 0.003608 0.018424 0.000000 0.024188
0.0000 0.370000 0.003701 0.018577 0.000000 0.024402
0.0000 0.380000 0.003795 0.018662 0.000000 0.024581
0.0000 0.390000 0.003888 0.018659 0.000000 0.024727
0.0000 0.400000 0.003981 0.018574 0.000000 0.024912
0.0000 0.410000 0.004073 0.018465 0.000000 0.025120
0.0000 0.420000 0.004165 0.018339 0.000000 0.025327
0.0000 0.430000 0.004257 0.018158 0.000000 0.025533
0.0000 0.440000 0.004348 0.018039 0.000000 0.025823
0.0000 0.450000 0.004439 0.017947 0.000000 0.026124
